City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
167,Maragogi,BR,2020-01-05 09:21:39,-9.01,-35.22,79.52,76,93,11.39,light rain,0.13,0.0
168,Nouakchott,MR,2020-01-05 09:29:31,18.08,-15.98,55.4,28,3,5.82,clear sky,0.0,0.0
169,Kamenka,MD,2020-01-05 09:29:31,48.03,28.7,33.01,85,100,12.82,overcast clouds,0.0,0.06
170,Kirksville,US,2020-01-05 09:29:32,40.19,-92.58,33.8,59,1,10.29,clear sky,0.0,0.0
171,Turayf,SA,2020-01-05 09:29:32,31.68,38.65,50.0,81,75,14.99,broken clouds,0.0,0.0
172,Bagdarin,RU,2020-01-05 09:29:32,54.44,113.59,4.55,86,66,4.65,broken clouds,0.0,0.0
173,Panguipulli,CL,2020-01-05 09:29:32,-39.64,-72.33,48.2,100,75,2.24,broken clouds,0.0,0.0
174,Dublin,IE,2020-01-05 09:25:07,53.35,-6.26,50.0,87,75,9.17,broken clouds,0.0,0.0
175,Itoman,JP,2020-01-05 09:29:33,26.12,127.67,66.2,59,20,10.29,few clouds,0.0,0.0
176,Svolvaer,NO,2020-01-05 09:29:33,68.23,14.57,30.99,81,100,4.0,light snow,0.0,0.31
177,Cedar City,US,2020-01-05 09:29:33,37.68,-113.06,24.8,85,1,5.82,clear sky,0.0,0.0
178,Hastings,NZ,2020-01-05 09:29:34,-39.64,176.84,67.87,66,86,12.39,overcast clouds,0.0,0.0
179,Soe,EE,2020-01-05 09:29:34,57.91,26.05,32.0,70,82,12.75,broken clouds,0.0,0.0
180,Ambilobe,MG,2020-01-05 09:29:34,-13.19,49.05,86.27,66,100,10.18,overcast clouds,0.0,0.0
181,Kununurra,AU,2020-01-05 09:29:34,-15.77,128.74,91.4,55,100,8.05,light rain,0.38,0.0
182,Beringovskiy,RU,2020-01-05 09:29:34,63.05,179.32,-7.6,74,0,19.04,clear sky,0.0,0.0
183,Dubbo,AU,2020-01-05 09:29:35,-32.25,148.6,95.0,21,90,18.34,overcast clouds,0.0,0.0
184,Sabha,LY,2020-01-05 09:29:35,27.03,14.43,52.74,43,0,2.33,clear sky,0.0,0.0
185,Castro,CL,2020-01-05 09:29:35,-42.48,-73.76,50.0,87,75,4.7,broken clouds,0.0,0.0
186,Saint George,GR,2020-01-05 09:29:36,39.45,22.34,51.8,62,40,8.05,scattered clouds,0.0,0.0
187,Santa Cruz,BR,2020-01-05 09:29:36,-6.22,-36.02,72.34,88,79,2.44,broken clouds,0.0,0.0
188,Tilichiki,RU,2020-01-05 09:29:36,60.47,166.1,-7.33,62,23,6.02,few clouds,0.0,0.0
189,Comodoro Rivadavia,AR,2020-01-05 09:29:36,-45.87,-67.48,59.0,47,100,16.11,overcast clouds,0.0,0.0
190,Placido De Castro,BR,2020-01-05 09:29:37,-10.34,-67.19,72.43,99,89,3.78,light rain,1.0,0.0
191,Bolshaya Dzhalga,RU,2020-01-05 09:29:37,45.97,42.7,39.78,44,19,4.0,few clouds,0.0,0.0
192,Neiafu,TO,2020-01-05 09:29:37,-18.65,-173.98,79.79,80,0,15.14,clear sky,0.0,0.0
193,Ostrovnoy,RU,2020-01-05 09:29:37,68.05,39.51,14.31,88,40,25.39,scattered clouds,0.0,0.0
194,Tiksi,RU,2020-01-05 09:29:37,71.64,128.87,-17.16,87,57,9.55,broken clouds,0.0,0.0
195,Jalu,LY,2020-01-05 09:29:38,29.03,21.55,59.85,58,49,13.82,scattered clouds,0.0,0.0
196,Kutum,SD,2020-01-05 09:29:38,14.2,24.66,63.91,26,0,11.1,clear sky,0.0,0.0
197,Sumkino,RU,2020-01-05 09:29:38,58.11,68.32,20.21,93,100,7.34,overcast clouds,0.0,0.0
198,Adrar,DZ,2020-01-05 09:29:38,27.87,-0.29,41.0,56,0,8.05,clear sky,0.0,0.0
199,Dawei,MM,2020-01-05 09:29:39,14.07,98.19,82.04,74,0,11.01,clear sky,0.0,0.0
200,Acajutla,SV,2020-01-05 09:29:39,13.59,-89.83,80.73,58,0,10.51,clear sky,0.0,0.0
201,Staryy Nadym,RU,2020-01-05 09:29:39,65.61,72.68,21.43,86,13,17.9,few clouds,0.0,0.0
202,Oriximina,BR,2020-01-05 09:29:39,-1.77,-55.87,75.87,89,59,3.2,light rain,1.5,0.0
203,Dakar,SN,2020-01-05 09:25:46,14.69,-17.45,68.0,42,3,11.41,dust,0.0,0.0
204,Malatya,TR,2020-01-05 09:29:40,38.35,38.32,35.6,91,90,4.7,light rain,0.0,0.0
205,Simbahan,PH,2020-01-05 09:29:40,6.3,120.58,81.52,79,35,13.67,scattered clouds,0.0,0.0
206,Muros,ES,2020-01-05 09:29:40,42.77,-9.06,48.0,100,0,4.7,fog,0.0,0.0
207,Eindhoven,NL,2020-01-05 09:29:41,51.44,5.48,44.01,93,90,6.93,mist,0.0,0.0
208,San Luis,AR,2020-01-05 09:29:41,-33.3,-66.34,76.98,41,0,13.87,light rain,0.56,0.0
209,Hofn,IS,2020-01-05 09:21:41,64.25,-15.21,43.18,80,54,36.6,light rain,0.5,0.0
210,Upernavik,GL,2020-01-05 09:29:30,72.79,-56.15,-35.14,90,55,10.51,broken clouds,0.0,0.0
211,Kargasok,RU,2020-01-05 09:29:41,59.06,80.87,17.96,93,100,8.34,overcast clouds,0.0,0.0
212,Belmonte,PT,2020-01-05 09:29:42,40.36,-7.35,44.01,10,0,4.63,clear sky,0.0,0.0
213,Avera,US,2020-01-05 09:29:42,33.19,-82.53,39.2,74,1,5.82,clear sky,0.0,0.0
214,Dikson,RU,2020-01-05 09:29:42,73.51,80.55,9.73,84,100,23.96,light snow,0.0,0.5
215,Pangnirtung,CA,2020-01-05 09:29:42,66.15,-65.72,-38.29,97,100,7.58,overcast clouds,0.0,0.0
216,Ilulissat,GL,2020-01-05 09:29:43,69.22,-51.1,14.0,85,100,24.16,snow,0.0,0.0
217,Aklavik,CA,2020-01-05 09:29:43,68.22,-135.01,-25.6,74,90,5.82,overcast clouds,0.0,0.0
218,Mahebourg,MU,2020-01-05 09:29:43,-20.41,57.7,82.0,83,75,6.93,broken clouds,0.0,0.0
219,Louis Trichardt,ZA,2020-01-05 09:29:44,-23.04,29.91,93.38,27,55,0.34,broken clouds,0.0,0.0
220,Provideniya,RU,2020-01-05 09:29:44,64.42,-173.23,-9.81,98,90,9.82,light snow,0.0,0.13
221,Dovolnoye,RU,2020-01-05 09:29:44,54.5,79.67,26.44,92,100,16.73,overcast clouds,0.0,0.0
222,Creel,MX,2020-01-05 09:29:44,27.75,-107.63,36.12,48,0,4.09,clear sky,0.0,0.0
223,Kupang,ID,2020-01-05 09:29:44,-10.16,123.6,78.8,94,75,11.41,light rain,0.0,0.0
224,Alcanena,PT,2020-01-05 09:29:45,39.46,-8.67,48.99,65,0,5.01,clear sky,0.0,0.0
225,Gladstone,AU,2020-01-05 09:29:46,-23.84,151.26,80.6,69,75,11.41,broken clouds,0.0,0.0
226,Zanjan,IR,2020-01-05 09:29:46,36.67,48.48,33.8,69,20,4.7,few clouds,0.0,0.0
227,Kulunda,RU,2020-01-05 09:29:46,52.57,78.94,23.43,88,100,12.01,overcast clouds,0.0,0.0
228,Padang,ID,2020-01-05 09:29:46,-0.92,100.36,79.83,76,78,1.66,light rain,1.75,0.0
229,Balakovo,RU,2020-01-05 09:29:47,52.02,47.82,31.6,94,100,11.74,overcast clouds,0.0,0.0
230,Den Helder,NL,2020-01-05 09:29:47,52.96,4.76,46.4,87,90,8.05,overcast clouds,0.0,0.0
231,Kaka,TM,2020-01-05 09:29:47,37.35,59.62,40.48,88,100,7.52,light rain,1.44,0.0
232,Kingseat,GB,2020-01-05 09:29:47,56.1,-3.41,46.99,87,75,16.11,broken clouds,0.0,0.0
